faqid,query,ans
1,How can I improve my English Language?,1
1,How do I speak English fluently in half a year?,1
1,How can I improve my English in all aspects?,1
1,How do I get my English better?,1
1,How can I specifically improve my English?,1
1,How can I learn to speak English fluently?,1
1,How can I speak English like natives?,1
1,How can improve my English speaking?,1
1,What is the best way of improving spoken English?,1
1,What are the most efficient methods for me to improve my English?,1
4,Why do some people ask simple direct science questions in Quora when there are sufficient resources available in internet?,4
4,Why do many Quora users ask questions they could look up online?,4
4,Why do so many people post questions on Quora that could be easily and thoroughly answered by simply typing the question into any search engine?,4
4,Why do people ask questions on Quora that can easily be answered by Google?,4
4,Why do people keep asking questions on Quora even though the most of the information is available out there on Google?,4
4,Why do people ask basic questions instead of searching them?,4
4,Why do people find it easier to stage simple questions on Quora rather than spending a few minutes on the Internet to find straight answers?,4
4,If I can find all answers on Google then why should one use Quora?,4
4,Why do people ask questions on Quora while They can get all the answers by Googling?,4
4,Why do most Quorans ask questions here instead of googling answers?,4
7,Is World War 3 more imminent than expected?,7
7,Is there any chance of World War III?,7
7,Is there a possibility of World War III happening in the next 10 years?,7
7,Is World War III coming?,7
7,Are we getting closer to world war 3?,7
7,How close are we (or not close) right now to World War 3?,7
7,Are we overdue for a world war?,7
7,"How close are we to World War Three, and how bad would it be?",7
7,Will WW3 happen if Clinton is elected as new PM?,7
7,Why World War III are inevitable?,7
8,What is the easiest way to earn money from online?,8
8,Is there any easy way to make money online?,8
8,What is a way to make money online?,8
8,How can I make money online for job?,8
8,How do you make money online?,8
8,What's the easiest way to make money online?,8
8,How can I make money online consistently?,8
8,What are the best ways to earn money from home?,8
8,What should I do to earn money online?,8
8,What are ways of earning money online?,8
9,How do I start preparing for IAS prelims?,9
9,How should I start my preparation for IAS as an engineering student?,9
9,How do I prepare for IAS? And which books should I refer for the same?,9
9,How do I start preparing for IAS exam? How much time should I spend on which subject?,9
9,Which books should I use to study for the IAS?,9
9,How do start preparation for IAS?,9
9,How do I prepare for upsc prelim?,9
9,How can I start preparing for ias exam? I have 4 yrs.,9
9,How do I start preparation for upsc exams?,9
9,How can I crack the ias in fresher?,9
12,I'm 16 and 5'2.5. How can I ACTIVELY grow taller?,12
12,How do I increase my height after 22?,12
12,Is there any way that trough which my height will increase?,12
12,Can skipping increase your height?,12
12,In what ways can I grow taller?,12
12,Does skipping increase height?,12
12,Is there any proven method to increase 13 year old girl's height after hitting puberty?,12
12,How can I increase my height after 18 years of age?,12
12,How can you increase your height?,12
12,How do I grow taller (1-2 inches) when I'm already 23? Is it possible?,12
14,What will be your new year resolution for 2017 and your plan of execution?,14
14,What should be my resolution for 2017?,14
14,What's your resolutions for 2017?,14
14,What are some meaningful new year resolutions for 2017?,14
14,What is your creative New Year's resolution for 2017?,14
14,What is your new year resolution?,14
14,What is your New Year's resolution for 2017?,14
14,What are your new year resolutions for 2017?,14
14,What are your resolutions for 2017? And why?,14
14,What is your resolution for this year 2017?,14
15,What can be the most insane ways to commit suicide?,15
15,What are some fairly painless ways to die?,15
15,What are the possible ways to commit suicide?,15
15,What is the most painless way to commit suicide?,15
15,"What is the cheapest, painless, easiest way to commit suicide?",15
15,What is the easiest and painless way to commit suicide?,15
15,I want to commit suicide. What is the easiest way?,15
15,Besides hanging yourself what are other ways people commit suicide?,15
15,What are some painless ways to commit suicide?,15
15,What is the most effective way to suicide?,15
16,How do I find the purpose of a life?,16
16,What according to YOU is the purpose of life?,16
16,What could be the basic purpose of life?,16
16,What is purpose of life?,16
16,What is primary purpose of life?,16
16,What is the purpose for human living in the world?,16
16,What's our purpose of life in this world?,16
16,What's the purpose of a human life?,16
16,"From your perspective, what is the purpose of life?",16
16,What is the purpose of your life?,16
17,How traffic increased for websites through backlinks?,17
17,How can I increase the traffic on my blog (www.midnightexpressions.wordpress.com)?,17
17,How do I increase traffic on my site?,17
17,What are the best way to increase website traffic organically?,17
17,How can I increase traffic on my blog?,17
17,How can I increase traffic very soon on my blog?,17
17,How do I get more traffic on my website?,17
17,How can I increase traffic to my site and what are some suggestions on how to get more of it?,17
17,How do I get more traffic to my site?,17
17,How can I increase the traffic on my website?,17
18,Unidentified Flying Objects: What is the single best proof of aliens existing?,18
18,"Do aliens really exist? If so, what are the evidence(s) supporting such claim?",18
18,Do we have proof that life exists anywhere in the universe except on Earth?,18
18,Is there any scientific proof for the existence of aliens?,18
18,What are the best evidence for aliens existence? (Photos),18
18,What are some of the evidences which proove that aliens do exist?,18
18,What is the best evidence for the existence of aliens?,18
18,What evidence exists that aliens have already made contact with humans?,18
18,Does alien life exist?,18
18,Is there any proof for the existence of aliens? What about all the stories we heard about them?,18
20,Is backward time travel possible?,20
20,Is time travel possible and if yes can we travel only in past or future or both?,20
20,Is time travel to 2010 possible?,20
20,Is it actually possible to travel through time?,20
20,Is time travel possible in next 5 years?,20
20,Is time travel possible? If yes how,20
20,Will time travel be possible in the next 10 years?,20
20,Is time travel possible? If yes? How?,20
20,When will time travelling (or at least time shifted vision) finally be possible?,20
20,What is the possibility of time travel becoming a reality?,20
21,How should I control outbursts of emotions?,21
21,How do I keep my emotions in control? I can’t help but feel irritated?,21
21,How can I control my emotions?,21
21,How do i control emotions at work place or public place?,21
21,Does our mind control our emotions?,21
21,How do I control my emotion and sadness?,21
21,How do I control my emotion and feeling?,21
21,Can we control our feelings and emotions?,21
21,What is the best way to achieve emotional self control?,21
21,How do I control emotions and reactions in nervousness?,21
22,Why don't people answer my question on Quora?,22
22,Why doesn't anyone answer my questions on here?,22
22,Why are my questions on Quora never answered?,22
22,Why don't people on Quora answer to my questions?,22
22,Why some of my questions on Quora not answered by anyone yet?,22
22,Why nobody replies to my questions on Quora?,22
22,Why doesn’t anybody answer my questions on Quora?,22
22,"Nobody answers my questions on Quora, why?",22
22,Why don't people answer me on Quora?,22
22,How can I fetch more number of answers for my questions on Quora?,22
23,What are some good places to visit in Kerala on tour?,23
23,Which places should I visit if I am going to Kerala for a week with friends?,23
23,What are the places to visit for a honeymoon in Kerala?,23
23,What are the best places to visit on a 3-day trip in and around Kerala?,23
23,Is kerala a good place to visit?,23
23,Which places should be visited while travelling to Kerala?,23
23,Which place is good for trip in Kerala?,23
23,Why should I visit Kerala?,23
23,My parents are planning a 3-day trip to Kerala in early October. Can anyone suggest notable places to visit in this short-tour?,23
23,Which place in Kerala is most beautiful?,23
25,"Why is India not producing good athletes?,if so why India is failing in olympics,world events",25
25,Why does India perform so poorly at the Olympics?,25
25,Why does India perform poorly in the Olympics and other international sports events?,25
25,"Why does India, a country of 1.2 billion people, struggle to win medals in Olympic games?",25
25,"With a population of over 1 billion, why does India fail to shine in the Olympics?",25
25,Why can't 1.3 billion Indians achieve a gold medal in the Olympics?,25
25,Why Indians are failing to place gold in Olympics or other international events?,25
25,"Despite Billion people, Why India is so bad at Olympics? Why does India lack talent?",25
25,Why is India performing bad in Olympics?,25
25,Why is India not winning even a single bronze in Olympics?,25
27,How can I get my password back from Facebook if my email address doesn't exist anymore?,27
27,How does one get Facebook to reset your account when your Facebook account is hacked AND your email is hacked?,27
27,How do I reset my Facebook password when my email was not verified by FB and my mobile no. was not registered due to which a reset code can't be sent?,27
27,How can I open my Facebook account I forgot my password and Gmail?,27
27,Can I not use Facebook Workplace without a unique domain email address?,27
27,How do I get into my Facebook if I can't remember passwords and I can't access email account?,27
27,I forgot my email Id and password on Facebook. How can I log into Facebook?,27
27,How do I log in my Facebook account if you forgot your password?,27
27,How can I log in to Facebook if I forgot my email?,27
27,I have forgotten my password for Facebook and no primary email and phone is added to my account. How can I get access to my account?,27
28,How can I trace phone calls from a cell phone?,28
28,How can we trace any mobile's location?,28
28,How do I track a cell phone by number for free?,28
28,How can I locate my husband's phone location without him knowing?,28
28,How can we trace a phone call's origin or cellphone location?,28
28,How can I track a mobile number and the location from any sofware?,28
28,How can a phone location be traced?,28
28,How do I remotely access a cell phones location online?,28
28,How do I find the real time location of a cell phone number?,28
28,How can I track my friend's phone without them knowing it?,28
29,If universe expands without limit is there infinite potential energy that transforms into kinetic energy (of expansion) all the time?,29
29,Is dark/vacuum energy infinite because the expansion of the universe is infinite and more and more of it is created as the universe expands?,29
29,If universe is expanding without a limit and dark and vacuum energy are created as it expands…?,29
29,How is dark/vacuum energy created with the universe conserved if it is not conserved? Can infinite of these be created?,29
29,"If universe expands and vacuum energy is created with it (with no limit),is there infinite potential energy/infinite vacuum energy that can be created?",29
29,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",29
29,Will we get more and more dark energy and vacuum energy as universe expands? Will this happen forever?,29
29,If dark energy is being created with expansion can infinite of it be created?,29
29,If energy is created and not conserved in an expanding universe (that expands without limit) can infinite energy be created then?,29
29,"Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? NO MERGE",29
30,What are the safety precautions on handling shotguns proposed by the NRA in New Hampshire?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Illinois?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Arkansas?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Pennsylvania?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Arizona?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Vermont?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Washington?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in California?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Kentucky?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Hawaii?,30
31,How can I know my wife has had an affair?,31
31,How do you know if your girlfriend has an affair?,31
31,How can I find out if my husband is cheating?,31
31,How do I know if my wife cheats?,31
31,How do I catch a cheating spouse?,31
31,How do I find whether my girl friend is cheating on me?,31
31,"I suspect my spouse is cheating, how do I know for sure?",31
31,How do I know my partner is in another relationship?,31
31,How do I catch my cheating spouse?,31
31,How do I know my partner is cheating on me?,31
33,Can you get pregnant 8 days before your period?,33
33,When is she less likely to get pregnant?,33
33,"During which time of her cycle can a girl get pregnant, please someone explain?",33
33,Can a girl get pregnant after her last day of periods?,33
33,can an egg be fertilized during or after a period?,33
33,Can you get pregnant the day before your period starts?,33
33,How possible is it to get pregnant one day after my 3 day period?,33
33,Is it likely to get pregnant during day 3 of my period with unprotected sex?,33
33,Can I get pregnant 3 days after period if I bled for not even a full 3 days?,33
33,Can you get pregnant a couple days before your period?,33
34,How can one stop being a procrastinator?,34
34,How do I stop my bad habit of procrastination?,34
34,What is the best way to avoid procrastination?,34
34,How do I get over procastination?,34
34,How do I avoid procrastinating?,34
34,How can I overcome the procrastination?,34
34,What is the best way to kill procrastination?,34
34,"What habits, I can develop to avoid procrastination?",34
34,How can one overcome procrastination?,34
34,What should somebody do to get rid of his laziness?,34
36,What are some of the best ways to learn python?,36
36,What is the best source to learn Python?,36
36,How can I learn about python on my own?,36
36,What's the best way to learn python on my own?,36
36,Is Python good to start learning programming?,36
36,I am New to Deep Learning. How do I start with Python?,36
36,How can I start learning the developing of websites using Python?,36
36,How do I start learning Python modules?,36
36,How can I learn advanced Python?,36
36,How should I start learning Python for Data Science?,36
37,How did Trump win the presidency?,37
37,How did Donald trump win?,37
37,How did Donald Trump manage to win the 2016 US election?,37
37,Why did America vote for Donald Trump as President in the 2016 Elections?,37
37,How did Donald Trump win the 2016 US Presidential Election?,37
37,How and Why did Donald Trump win the election?,37
37,Why did American people elect Donald Trump as their president?,37
37,How did Donald trump win the elections?,37
37,How come Trump won?,37
37,Why was Trump elected President?,37
38,How can I increse my penis size?,38
38,Can you get your penis bigger?,38
38,Is it possible to increase the size of a penis?,38
38,How can you increase girth and length?,38
38,What works to make a man's penis thicker?,38
38,Can a guy get a penis enlargement?,38
38,How do I increase the size of a penis?,38
38,How can I increase my penis?,38
38,Can the penis size (length or girth) be permanently increased?,38
38,How do I increase the size of my penis without surgery?,38
39,I had sex one day prior to the usual onset of my period and now I'm three days late. Why?,39
39,What does it mean when your period is three days late?,39
39,We had sex 3 days before her due periods. Now she is 2 days late. No sign of pregnancy till date. Urine test was neg on first day. Is she pregnant?,39
39,"My period is about a week overdue. There is no way I can be pregnant, since I've never had sex. I'm 13 years old and I've had my period for around 2 years and it's never been this late. My cycle is around 29 days and it's been about 36 days since my last period. I'd really appreciate some help.",39
39,What can cause a woman's period to be late?,39
39,"I have had 2-3 periods since I last had sex 3 months ago with a condom and no cum, my period is 10 days late, could I be pregnant?",39
39,"If your period is 10 days late, are you pregnant?",39
39,"I had sex two months ago. I had a period last month after it was 4-5 days late. This month, I am now 8 days late. What does this mean?",39
39,Why is my period four days late?,39
39,What could it mean if my period was 11days late and my period was lighter then normal?,39
40,I've never smoked meth until Saturday at 2am. I have a drug test urine iCup test on Thursday. Will I test negative on a drug screen?,40
40,When u smoke crystal meth how long will it be to be able to pass a urine drug test?,40
40,Can meth be out of your system in 48 hours?,40
40,Can you pass a urine test for meth in 6 months?,40
40,"How long does meth stay in your system? If last use was Friday, would it be out by Monday?",40
40,Will meth be in my system after 48 hrs?,40
40,How long does crystal meth stay in your system?,40
40,How long does meth stay in your system if you snorted 3 little lines?,40
40,Can you pass a urine test for meth in 4 days?,40
40,How long after smoking a small amount of meth is it first detected in a urine test?,40
41,How is US president Donald Trump important for India?,41
41,"What will be the impact of election of Donald Trump as the 45th US president, on India?",41
41,What would be the effect on India if Donald Trump really becomes the president of US?,41
41,Donald Trump has won the presidency election. How does it affect US relations with India?,41
41,"If Donald Trump wins the presidential election, how will the relationship between USA and India takes its course?",41
41,What does Trump's win mean for India?,41
41,How will Donald Trump getting elected as the President of the United States affect the relations of the USA and India?,41
41,How will Donald trump's Victory would affect India's relationship with USA?,41
41,What Can happen to India if Donald Trump becomes president?,41
41,Will Indians face any difficulty if Donald Trump becomes the President of USA?,41
42,What are some permanent ways of getting rid of acne?,42
42,How can I get rid from my acnes?,42
42,How can I get rid of acne and its effect?,42
42,How can I get rid of acne and scars?,42
42,What should I do to remove pimples from face?,42
42,How did you cure your acne?,42
42,How do I get rid of acne and acne causes?,42
42,How do I to get rid of acne scars?,42
42,How do I remove pimples?,42
42,How do I get rid of pimples on my face?,42
43,How can I get Meth out of my system in less than 2 days so I can pass my drug test?,43
43,What can I do to clean out my system from meth?,43
43,What is the quickest way to get meth out your system?,43
43,Does milk flush the meth out of your system?,43
43,How do I get meth out of my system from smoking it instantly?,43
43,Will the creto method get me to pass a drug screen tomarrow if I used meth today?,43
43,How can I flush meth out of my blood?,43
43,How can I get meth out of my system in two days?,43
43,How do I get meth out of my system in 3 days?,43
43,How can I get meth out of my system ASAP?,43
44,How do I get funding for my startup idea before we have a prototype?,44
44,How do I get funding for my idea of an app?,44
44,How do I raise funds for a startup business idea?,44
44,How do I get seed funding pre product?,44
44,"Do investors or VCs fund when it's just an idea stage? If yes, then how should one approach them and name such VCs or investors?",44
44,"How do I get seed funding for a startup, which is ready with an idea team adviser and business alliances? What does the seed investor look for apart from this?",44
44,"How do I get my ""groundbreaking"" app idea noticed and also get funding to develop it?",44
44,How should I go about getting funding for my idea?,44
44,What is the best way to fund an idea?,44
44,How do I get funding from investors for my business idea?,44
45,How will be the banning of 500 and 1000 rupees notes will have impact on real estate and Construction industry in India?,45
45,What will be impact of 500 / 1000 notes ban on real estate?,45
45,What will be the effect of banning 500 and 1000 notes on gold rate and real estate?,45
45,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,45
45,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,45
45,How has the real estate industry been affected in India by the ban of 500/1000 notes?,45
45,Will abolishing 1000 and 500 currency note affect property prices?,45
45,What will be the effect on real estate sector after demonetization of currency in India?,45
45,What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?,45
45,How will the decision of scrapping INR 500 and INR 1000 notes affect real estate prices?,45
46,Which is the best smartphone within 15k?,46
46,Which is the best mobile below 15000?,46
46,Which phone should I buy under 15k?,46
46,Which is best mobile under 15000?,46
46,Which mobile I should buy under 15k?,46
46,Which are best mobile phones to buy under 15000?,46
46,Which phone should I buy under INR 15K?,46
46,What is the best phone I can buy under the price of 15000?,46
46,What are the best phones under 15000 in india?,46
46,Which is the best phone under ₹15000?,46
47,How can I do effective self study?,47
47,How can I study more hard?,47
47,What are the best ways to study more effectively?,47
47,What are some tricks to study effectively?,47
47,What is the best way of studying?,47
47,What should I do to focus on my study?,47
47,How could I focus on my studies?,47
47,What is the most efficient and effective way to study?,47
47,How can I study efficiently?,47
47,How can I study more time and more effectively?,47
50,Which is the best QuickBooks Tech Support Number in North Dakota?,50
50,Is there any help for QuickBooks Support?,50
50,Which is the best QuickBooks error support number?,50
50,Which is the best QuickBooks Hosting Support Number in New York?,50
50,How QuickBooks Proavisor Tech support Phone Number is Prominent for getting Solutions?,50
50,What is the QuickBooks contact number?,50
50,What is the best Quickbooks technical support number?,50
50,How can you resolve the problem of accounting software tool by quickbooks technical support number?,50
50,What is the QuickBooks installation support phone number?,50
50,"Which is the best QuickBooks Tech Support Number in New York, USA?",50
51,Why is Saltwater taffy candy imported in Australia?,51
51,Why is Saltwater taffy candy imported in The Bahamas?,51
51,Why are saltwater taffy imported in Japan?,51
51,Why is Saltwater Taffy candy imported in Spain?,51
51,Why is saltwater taffy candy imported in Austria?,51
51,Why is Saltwater taffy candy imported in Switzerland?,51
51,Why is Saltwater Taffy candy imported in Poland?,51
51,Why is Saltwater taffy candy imported in Laos?,51
51,Why is Saltwater Taffy candy imported in Greece?,51
51,Why is salt water taffy candy unknown in Japan?,51
52,What are the funniest jokes / stories you ever heard?,52
52,What is the best hilarious joke you have ever heard?,52
52,Which is the funniest joke you've ever heard?,52
52,What are the funniest jokes of all times?,52
52,What are the best jokes ever?,52
52,What are some of the best jokes ever told?,52
52,What is the funniest joke you've ever heard or read?,52
52,What are some of the best jokes?,52
52,What's the funniest highbrow joke you've ever heard?,52
52,What is the funniest joke you ever heard?,52
53,What should I do to control my anger?,53
53,How can a person control anger?,53
53,What's the best method to control anger?,53
53,What can one do to control his/her anger?,53
53,How do I overcome my anger problem?,53
53,How do I reduce my anger?,53
53,How do I handle my anger issues?,53
53,What is the solution to control anger?,53
53,What should I do to overcome my anger?,53
53,What are some good techniques for controlling your anger?,53
54,How will long distance relationship work?,54
54,Can long distance relationships work out?,54
54,What is the trick to maintaining long distance relationships?,54
54,Do distance relationships work? How can you make it work?,54
54,Does a long distance relationship really work?,54
54,How can I maintain my long distance relationship to the best of my ability?,54
54,How do we can remain satisfied in a long distance relationship?,54
54,How does long distance relationship work?,54
54,How do I cope with a long distance relationship?,54
54,Can you help me with tips for a successful long distance relationship?,54
55,Where can I get best services in property transactions across the Sydney?,55
55,Where can I get very friendly property transactions services in Sydney?,55
55,Where can I get comprehensive written advice in Sydney for any property transaction?,55
55,Where can I get best legal support for property transaction in Sydney?,55
55,"Where can I get experts help clients across Sydney for buy, sell or lease property?",55
55,Where can I get very friendly assistance in Sydney for buying or refinancing a property?,55
55,Where can I get very smooth and uncomplicated assistance in Sydney for any property transaction?,55
55,Where can I get quality support to make a successful property transaction process in Sydney?,55
55,Where can I get all types of legal advisory services for property transaction in Sydney?,55
55,Where can I get quality support in Sydney for purchasing a property?,55
57,What are the best online short courses in digital marketing?,57
57,What are the best online courses available for digital business and marketing management?,57
57,I am MBA (Marketing) Student. I want to pursue Digital marketing Course. So where Can I find best course of Digital Marketing? Is there any Institute in Mumbai who are providing the Digital marketing Course?,57
57,Will digital marketing a good course to learn?,57
57,From where can I pursue digital marketing course?,57
57,Which is the best platform to learn online and get knowledge + certification for Digital Marketing or every course in general?,57
57,How helpful is doing digital marketing course?,57
57,What are the best online courses for digital marketing?,57
57,Which is the best institute to learn digital marketing (job oriented) in India?,57
57,Is NIIT Delhi good for a digital marketing course?,57
58,What are the odds of dying if someone shot me in the chest with a 50 cal Desert eagle at close range?,58
58,Terminal Ballistics: Which caliber handgun and bullet type do I have the smallest chance of surviving a head shot from close distance?,58
58,Can you survive a shot between the eyes with a 300 Grain HP bullet from an Desert Eagle.50 from close distance?,58
58,What is the one shot stop percentage with a Desert eagle 50AE?,58
58,If you shoot me at 3 feet with a Desert eagle .50AE in the forehead can I survive it?,58
58,"If someone is standing at a close distance and he shoots me in the face with a 50AE Desert Eagle, do I have any chance to survive?",58
58,Guns and Firearms: Can i survive a close range shot in the head with a  .50 Action express?,58
58,Why is the chance to survive a shot between eyes with a 300grain HP .50AE Desert Eagle almost nonexistent?,58
58,If there any chance in the world to survive a headshot at close range with 62.000 fps speed with a 300 Grain HP bullet?,58
58,Can I survive A 50 AE Desert eagle hit in The head at close range?,58
86,"As an individual, do I really need to care what people think about me?",86
86,How do I learn not to care about what people think of me?,86
86,How do I not care what other people think of me?,86
86,How can I be indifferent to what people think of me?,86
86,How can I stop worrying about what other people think of me?,86
86,What are some psychological tricks to stop caring about what people think?,86
86,How do I not worry about what others think or compare myself with them?,86
86,What can I do to stop worrying what others think?,86
86,Should I worry about what people think about me?,86
86,"Should I care what people think about me? Most have a positive impression of me, but should I care to keep it that way?",86
87,Which is the best laptop I can buy in india for Rs.25000-30000?,87
87,"Which is the best laptop under INR 30,000?",87
87,Which is the best laptop to buy above ₹25000 and below/upto ₹30000?,87
87,What are some good laptops under Rs.30000?,87
87,I want a new laptop with maximum configuration under 30000?,87
87,Which is the best laptop model to buy within 30k?,87
87,Which is the best laptop to buy under 30k in India?,87
87,Which is the reasonably good laptop under 30K INR?,87
87,What is the best laptop under 30k?,87
87,Which can be the best laptop under 30000?,87
88,How can I find all of my Gmail accounts that I ever set up?,88
88,How do I find my own gmail accounts list?,88
88,How do I get all the list registered to your gmail account?,88
88,Where is my other gmail accounts?,88
88,How do I find my old Gmail account back?,88
88,How do I find all of my Gmail accounts?,88
88,Where are all my Gmail accounts?,88
88,How can I find all my Gmail IDs?,88
88,How can I find my all Gmail accounts?,88
88,How can I get a list of my Gmail addresses?,88
89,How do you know if you are in love with someone?,89
89,How do you know if you've fallen for someone?,89
89,How do know when you're in love?,89
89,How do you know if you're really in love?,89
89,How do you know if you're in love with someone and might only be denying the fact to yourself?,89
89,When do you know that you are in love?,89
89,How will you know you love someone?,89
89,How can you know if you're in love or just attracted to someone?,89
89,How do you know you are in love with someone?,89
89,How could we know that we are falling in love?,89
91,What can be the reason behind dhoni's stepping down from captaincy before retirement?,91
91,Why did Dhoni leave the captaincy?,91
91,What did Dhoni step down as ODI and T20 captain so quietly?,91
91,Why does M.S Dhoni left captaincy for ODI and T20?,91
91,Why did MS Dhoni resign as ODI and T20 Captain?,91
91,Why did MS Dhoni quit ODI and T20 captaincy?,91
91,Why did MS Dhoni leave the captaincy of ODI and T20?,91
91,Why MS Dhoni leave captaincy of ODI & T-20?,91
91,Why did MS Dhoni quit ODI and T20 captaincy but will still play?,91
91,"What do you think, what should be the reason behind MS Dhoni quitting the captaincy?",91
93,What valid proof can confirm/deny the surgical strike India claims it did yesterday in POK/Azad Kashmir (29/09/16)?,93
93,How do we know if the surgical strikes by India in POK are real and not a misinformation?,93
93,Was there really any surgical strike conducted across the line of control?,93
93,How do we know whether India really conducted the surgical strike against Pakistan?,93
93,Is the surgical strike against Pakistan fake?,93
93,Did India's surgical strikes against Pakistan really happen? Or is it a lie to pacify hurt Indian sentiment and to send a message internationally?,93
93,Is there any Evidence and unbiased proof of surgical strike?,93
93,Did the surgical strikes really happen?,93
93,India says it had done a surgical strike in POK. But Pakistan says it was cross border firing. Who is telling the truth and why?,93
93,What is the evidence that India carried out surgical strikes in PoK? What made the world deny India's claim?,93
95,"In South Africa, is it too late to start medical school at the age of 24?",95
95,When is it too late to study medicine and become a doctor?,95
95,"What age do you think is too late to start medical school, based off of your own experiences?",95
95,"I'm 37 years old, am I too old to go to school to become a doctor?",95
95,I am from India and want to study medicine. I am 24. Am I too late?,95
95,"At 42, is it too late for me to begin studying medicine?",95
95,Is it too late to study medicine at 23?,95
95,Can I go to medical school at 50?,95
95,What age is too old to get a medical MD?,95
95,Is it too late to go to medical school at 24?,95
